id;street_name;location;city;state;coordinates;bedrooms;baths;onsite_services;amenities;house_rules;title;description;images;rating;review
16;Old Market Road;Kalpetta;Wayanad;Kerala;11.6103|76.0828;6;8;cook/laundry/cleaning;television/cable or satellite tv/air conditioning/hot water/kitchen/parking/washer dryer;We have the best tourist cottages in it's kind in Wayanad. So if you are looking for a budget stay in wayanad, you are welcome to Greenmount cottages;Green mount cottages;Green mount cottages is an exclusive home for the tourists to Wayanad, which offers superlative facilities to the tourists. Green mount cottages is located in the heart of Kalpetta.;mount1.jpg,mount2.jpg,mount3.jpg,mount4.jpg,mount.jpg;1;28
17;Vendole Road; Sultan Bathery;Wayanad;Kerala;11.6641|76.2653;2;2;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/kitchen/parking/washer dryer;we have built our home with natural materials in the midst of enchanting woods. Started recently, Cheeral homestay has become a favorite place for family tourists visiting Wayanad;Cheeral homestay;Cheeral homestay is a unique family getaway located in the midst of enchanting greenery offering eco-friendly ambiance that fits your budget. We believe in ecologically sustaining tourism where you are allowed to experience nature firsthand to understand and appreciate environment;Cheeral1.jpg,Cheeral2.jpg,Cheeral3.jpg,Cheeral4.jpg,Cheeral5.jpg;2;28
18;Morais Colony Per-Seraulim; Colva;Goa;Goa;15.2760|73.9173;10;10;cook/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer;This Old-Goa Portuguese style cottage extends a warm and intimate welcome to anyone who wants to enjoy the best of what Goa has to offer.;Stain Glass Cottage;Nestled amidst a lush green sanctuary of swaying coconut trees and bountiful tropical fruit trees, Stain Glass Cottage is a more a colonial home than a hotel;Glass1.jpg,Glass2.jpg,Glass3.jpg,Glass4.jpg,Glass.jpg;3;25
19;Sinai Bagh Carmel Chapel and High School;Curtorim;Goa;Goa;15.2890|74.0212;8;6;cook/laundry/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/swimming pool/kitchen/parking/washer dryer;The house, has been restored and renovated, true to its heritage and without compromising the modern day requirement for convenience and comfort.;Arco Iris;The front edge of the property overlooks a seasonal lake which supplements the water requirements of the surrounding paddy fields;Arco1.jpg,Arco2.jpg,Arco3.jpg,Arco4.jpg,Arco.jpg;4;31
20;Yashodhan Building Near Maruti Temple;Warkhandem Ponda;Goa;Goa;15.4254|73.9830;5;4;cook/laundry/cleaning;television/cable or satellite tv/air conditioning/hot water/kitchen/parking;An array of mangroves separate land from water providing a breeding ground for prawns;Mystic Woods;They go out of their way to make sure that every guest returns home with pleasant memories to cherish;Mystic1.jpg,Mystic2.jpg,Mystic3.jpg,Mystic4.jpg,Mystic.jpg;5;11
21;D'Mello Vaddo Next to Oxford Arcade; Anjuna;Goa;Goa;15.5809|73.7448;6;4;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/kitchen/parking/washer dryer/gym;We offer affordable and spacious accommodation in Flat located in North Goa, in the village of Aldona;Anjuna Palms Guest House;Welcome to Calangute Apartment a tourist development in Calangute. On site swimming pool;Anjuna1.jpg,Anjuna2.jpg,Anjuna3.jpg,Anjuna4.jpg,Anjuna.jpg;1;43
22;Coaker's Walk;Kodaikanal;Kodaikanal;Tamilnadu;10.2381|77.4892;5;3;cook/laundry/cleaning;television/wifi/air conditioning/hot water/kitchen/parking/washer dryer/gym;Providing all the essential comforts, Villa Retreat is a hotel which functions like a home stay and run by a family since 1989, who till date strives to maintain the Old world charm with a friendly service.;Hotel Villa;The architecture of Villa Retreat in Kodaikanal bears a strong semblance with the Victorian style chalets and villas, a perfect alternative to the contemporary hotels in Kodaikanal.;Villa1.jpg,Villa2.jpg,Villa3.jpg,Villa4.jpg,Villa.jpg;2;2
23;2nd Main;Trivandrum;Trivandrum;Kerala;8.4875|76.9486;6;4;cook/laundry/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/parking/washer dryer/gym;Accompanied by percussionists and background singers, the performers convey the story through elaborate facial movements and hand gestures. The lead singer provides the dialogues.;SilverInn Homestay;Beautifully furnished, the SilverInn bed & breakfast is located in one of the loveliest neighborhoods in Trivandrum;SilverInn1.jpg,SilverInn2.jpg,SilverInn3.jpg,SilverInn4.jpg,SilverInn.jpg;3;41
24;Sasthamangalam;Sasthamangalam;Trivandrum;Kerala;8.5142|76.9715;7;5;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/parking/washer dryer/gym;The Palace, the observatory, tennis and golf courses, the museum and zoo, countless restaurants, eateries, markets and famous shops with the best Trivandrum has to offer;Damor Homestay;we will provide the level of accommodation and service you demand and remove the hassle of the details leaving you free to enjoy your stay without worry;Damor1.jpg,Damor2.jpg,Damor3.jpg,Damor4.jpg,Damor.jpg;4;34
25;Sreekaryam PO;Sreekaryam;Trivandrum;Kerala;8.5499|76.9168 ;8;5;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/parking/washer dryer/gym;ust a stones throw away from major landmarks in the State Capital city of Thiruvananthapuram like Techno Park, Medical College, Hospitals, etc.;DIAMOND HOUSE;Export quality black galaxy granite flooring. Export quality Teak Wood with spray polish. Spacious Parking area;DIAMOND1.jpg,DIAMOND2.jpg,DIAMOND3.jpg,DIAMOND4.jpg,DIAMOND.jpg;5;0
26;Rishimangalam;Rishimangalam;Trivandrum;Kerala;8.5142|76.9715;10;8;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/parking/washer dryer/gym;We are passionate about providing a unique experience. Service is relaxed, warm, gracious and genuine. It is custom built to delight the senses, to pamper, to relax, to revive.;Sreechakra homestay;Sreechakra homestay is a premium accommodation alternative that represents Indian Hospitality at its best. A visit to India as a destination would remain incomplete, without experiencing the warmth of a family in a typical home;Sreechakra1.jpg,Sreechakra2.jpg,Sreechakra3.jpg,Sreechakra4.jpg,Sreechakra.jpg;1;26
27;Lajpat Nagar;Lajpat Nagar;New Delhi;New Delhi;28.5646|77.2445;10;8;cook/laundry/cleaning;television/cable or satellite tv/internet/wifi/air conditioning/hot water/kitchen/parking/washer dryer/gym;We will be very happy to help you in assisting you regarding your onward reservations and recommendations about places of your interest in and around Delhi;Holiday Home Stay;We invite domestic & international travellers to experience our serviced apartment and make your stay at Delhi a memorable one;holiday1.jpg,holiday2.jpg,holiday3.jpg,holiday4.jpg,holiday.jpg;2;19
28;Ring Road;Lajpat Nagar;New Delhi;New Delhi;28.5646|77.2445;6;4;cook/laundry/cleaning;television/cable or satellite tv/internet/air conditioning/hot water/kitchen/parking;"Tourism is a Passion for the entire family & hence they are eager to offer to the Guests grand Indian hospitality to carry back memories of  Atithi Devo Bhava"" after experiencing to stay in their luxurious family bungalow""";Sabharwal Home;All family members are educated, have travelled globally and are well versed with the international tourists expectations. Their residential bungalow/villa located on 31 Ring Road, Lajpat Nagar;Sabharwal1.jpg,Sabharwal2.jpg,Sabharwal3.jpg,Sabharwal4.jpg,Sabharwal.jpg;3;47
29;Hospital Road;Jungpura-A;New Delhi;New Delhi;28.5815|77.2448 ;8;4;laundry/cleaning;television/cable or satellite tv/air conditioning/hot water/washer dryer/gym;Togetherness wherever possible we share and care about experiences with our guests to give them a life time experience of INDIAN FAMILY life;Goswami Home Stay;Be a part of family of three generations living together in this 3000 sqft apartment. Experience Home Stay with a difference in a Bed & Breakfast and be a part of family’s traditional life style of New Delhi yet with comforts of all modern gadgetries.;Goswami1.jpg,Goswami2.jpg,Goswami3.jpg,Goswami4.jpg,Goswami.jpg;4;25
30;Ganesh Nagar;Tilak Nagar;New Delhi;New Delhi;28.6373|77.0939 ;6;3;cook/laundry/cleaning;television/wifi/air conditioning/hot water/parking/gym;ou are most welcome to experience the culture, taste and hospitality of the real India with the real  Indian family.  You will really feel the true Indian philosophy of “ATHITHI DEVO BHAVA” means “GUEST IS GOD”.  Believe us you will come as a guest and will go back as a friend.;Global Home Stay;Global Home Stay is registered Home Stay accommodation with the Department of Tourism Government of India, under its Incredible India, Bed & Breakfast Scheme. Global Home Stay is reputed B&B Home Stay facility which is centrally located near the Indira Gandhi International Airport New Delhi;Global1.jpg,Global2.jpg,Global3.jpg,Global4.jpg,Global.jpg;5;23
32;Near Sumitra Hospital;Sector-35;Noida;Uttar Pradesh;28.6092|77.3443 ;8;4;cook/laundry/cleaning;television/wifi/air conditioning/hot water/kitchen/parking/washer dryer/gym;you can reachup to various cultural centers, where high quality cultural programmes (Indian dance and music, plays, recitals etc) are performed. Several historical monuments and interesting sites are located around the area.;Ananda Homestay;Ananda Home Stay provides quality lodging at best price to our valuable guests, 100% freshed cooked breakfast is served with smile in the breakfast area. Unlimited tea, coffee are served complimentary.;Ananda1.jpg,Ananda2.jpg,Ananda3.jpg,Ananda4.jpg,Ananda.jpg;2;25
33;Sector-12;Noida;Uttar Pradesh;India;4;2;6;television/cable or satellite tv/wifi/air conditioning/hot water/kitchen/washer dryer/gym;Designed for the modern-day traveler, the deluxe room Royal Palace erases all your weariness away with its distinct comforts and luxuries. Plus, it has all the amenities and facilities that make your trip stress-free and successful;ROYAL PALACE;Whether you’re looking for lavish stay on your business tour or a luxurious abode on your leisure trip, Royal Palace offers a world of comfort and luxury taking care of your every need, wants and obsessions to make your stay wonderful and worth a memory;ROYAL1.jpg,ROYAL2.jpg,ROYAL3.jpg,ROYAL4.jpg,ROYAL.jpg;3;42;
